A_X [mg]	A_Y [mg]	A_Z [mg]	G_X [dps]	G_Y [dps]	G_Z [dps]	LABEL
-996.85596	728.40796	157.87737	21.362679	-2.84648	-64.62311	2
-863.6502	717.26794	137.75604	21.111778	2.315096	-40.491344	2
-887.00726	653.95526	130.18668	13.926158	15.0536785	-17.956446	2
-978.0071	565.2967	124.410286	0.4666287	29.044497	5.421373	2
-1046.1051	485.6813	139.14207	-9.681437	37.369396	27.33603	2
-1069.3165	435.0343	133.70905	-16.867983	43.986988	50.409748	2
-1073.879	397.66443	122.703674	-23.894997	50.847164	73.48518	2
-1105.0204	399.6938	106.10006	-24.270144	57.24002	98.38661	2
-1116.2778	434.22665	102.37479	-21.734776	63.13485	120.4473	2
-1142.5083	466.66675	79.31114	-21.32396	67.70172	140.13597	2
-1152.8783	451.75943	73.28804	-22.451616	70.155945	157.7142	2
-1174.0398	424.774	80.36954	-21.619425	73.43761	173.21327	2
-1212.7723	383.80582	81.64009	-18.121944	76.950615	183.79547	2
-1279.4396	343.59595	133.3054	-9.947125	77.450455	193.97331	2
-1346.7504	352.88458	167.83968	2.5444248	75.65022	204.89795	2
-1397.9617	356.79486	270.58063	12.912915	72.34077	211.2393	2
-1392.86	364.96304	326.2829	24.193941	66.90524	217.118	2
-1351.7421	326.82233	290.7647	35.518944	63.11542	223.59511	2
-1251.3685	300.11124	281.78516	52.57698	56.39016	227.79741	2
-1147.842	289.45758	240.39282	68.14119	54.506668	229.37529	2
-1061.7502	282.2065	220.65233	84.5292	53.84819	228.71368	2
-1013.5678	334.9153	213.41418	100.22664	52.170235	226.49263	2
-952.3421	391.24344	225.48842	105.29886	56.464153	224.72928	2
-913.55396	407.3449	246.83333	102.77886	57.999386	219.57675	2
-918.8885	435.0427	256.75357	91.86955	60.76567	214.29306	2
-883.0864	483.60214	251.90358	73.85423	67.21327	207.61296	2
-881.6701	528.3284	283.0823	48.894714	69.70314	202.73102	2
-891.7466	561.05676	298.23056	18.162231	70.20996	196.27843	2
-912.10815	556.96246	244.16675	-19.242834	73.0662	190.81253	2
