A_X [mg]	A_Y [mg]	A_Z [mg]	G_X [dps]	G_Y [dps]	G_Z [dps]	LABEL
-1617.19	286.962	214.536	-76.93505	-34.782837	261.20517	2
-1618.3837	278.4226	186.61327	-80.87202	-33.742397	262.94406	2
-1597.0607	301.45746	197.14894	-79.700775	-33.88085	261.56613	2
-1572.1779	293.45508	148.62015	-79.77005	-31.596775	260.83667	2
-1538.5024	319.8657	155.96718	-86.511734	-31.933098	257.0501	2
-1468.697	322.4317	158.47536	-92.461655	-33.7208	254.05989	2
-1366.7955	330.1612	163.04057	-98.93993	-32.919743	253.11613	2
-1282.9812	319.25455	213.12512	-102.47895	-35.8268	251.22144	2
-1185.3112	269.6329	217.5866	-106.00147	-43.353424	247.22337	2
-1108.1926	232.81122	188.90363	-93.18164	-46.09878	239.95485	2
-1037.5983	186.08513	191.01634	-74.36614	-50.780506	231.48203	2
-957.2293	184.68207	184.11691	-51.892	-57.280647	227.24664	2
-906.6976	212.23842	140.4885	-29.785793	-58.016315	226.85869	2
-863.5549	263.28757	116.5924	-15.200602	-57.82565	222.58925	2
-818.1181	289.46472	61.301018	-5.7269807	-57.478123	217.16592	2
-770.12695	290.50305	24.573679	-3.5007327	-56.149803	210.93059	2
-745.0498	284.1201	0.27095738	-1.9714302	-56.27316	205.62941	2
-701.4106	299.29904	-16.95256	-5.349296	-54.18142	199.93428	2
-691.5832	279.14587	-49.51729	-7.8006425	-51.51697	194.59717	2
-657.21136	288.91357	-45.379486	-14.257728	-48.374725	189.26904	2
-622.5227	274.65707	-59.276203	-21.722937	-49.08936	183.04822	2
-601.0352	270.20428	-43.138577	-29.237726	-48.740124	175.71577	2
-594.2133	255.87738	-80.00392	-36.936954	-46.69643	170.9753	2
-585.6575	232.40198	-71.57524	-41.1454	-42.6394	162.4972	2
-592.2854	225.3168	-75.22041	-48.48052	-43.497074	155.9623	2
-593.7103	222.22838	-65.92804	-48.88704	-41.630688	148.74284	2
-581.906	214.623	-36.7677	-49.02748	-40.985275	139.6682	2
-598.9396	206.45093	-80.59822	-48.253567	-40.85795	129.92757	2
-578.90356	207.7308	-25.054026	-46.461323	-38.095676	117.98454	2
-586.52325	199.17406	-18.583368	-41.610207	-38.770176	107.25038	2
-591.4704	203.48236	-23.1253	-35.766655	-38.463097	93.89218	2
-588.75836	196.62852	-18.749815	-28.451147	-37.368374	83.29981	2
-606.75885	197.22977	-34.826763	-22.111397	-36.533447	69.21429	2
-590.7002	211.46971	-24.703568	-10.528749	-32.768845	55.84553	2
-599.76215	239.78687	9.559623	3.369827	-27.850584	44.15015	2
-616.22845	249.60933	1.1549555	14.850715	-24.81757	29.06839	2
-624.0849	262.04147	12.932664	26.089607	-19.670034	18.619892	2
-623.4769	298.7138	18.849684	29.98634	-15.112129	7.8300815	2
-623.2071	303.89728	40.426483	34.47035	-6.872704	-4.203952	2
-620.55084	325.72556	52.144997	34.311604	-1.0181003	-15.977515	2
-618.81757	362.98993	101.945114	31.266644	5.816297	-29.485085	2
-632.1053	385.15784	158.92899	24.667732	12.726164	-39.970352	2
-638.1987	417.56772	175.5293	23.359179	22.78137	-53.080353	2
-706.0523	460.8112	221.3481	13.306387	28.135962	-65.88561	2
-772.7108	474.1593	257.93423	-0.73088336	34.24751	-78.63622	2
-837.0461	493.19177	293.52185	-13.773359	44.17433	-94.82684	2
-915.66205	525.0305	323.43317	-28.759174	46.879486	-116.02837	2
-969.23456	519.9144	364.48633	-41.624153	52.354725	-135.63022	2
-1018.6044	542.5495	397.9078	-56.687134	60.111767	-155.41061	2
-1038.1378	538.1399	437.82828	-70.051544	64.655624	-177.18427	2
-1054.3678	522.9204	461.17148	-75.817024	70.9029	-196.27493	2
-1085.5597	485.40808	535.1381	-79.536644	75.544624	-214.10872	2
-1129.52	460.556	570.784	-78.93869	84.38351	-232.40773	2
-1217.3491	424.74933	617.4686	-69.83802	92.873405	-250.57246	2
-1273.5425	391.15765	666.88385	-58.884727	99.020035	-264.69354	2
-1330.3401	358.5008	669.9783	-44.84166	102.39582	-277.7276	2
-1396.3298	346.49268	707.10095	-32.528835	106.97153	-287.86716	2
-1478.8467	347.31256	700.8501	-20.065178	110.48359	-296.84277	2
-1578.2926	337.6866	733.70074	-15.765222	109.70643	-300.4642	2
-1660.6722	337.31412	738.3285	-9.74822	109.98972	-304.23386	2
-1728.2124	325.39105	752.75073	-9.081463	103.84469	-306.7217	2
-1737.6149	302.78955	775.46484	-5.108228	98.63155	-302.201	2
-1736.5951	282.89392	750.3456	2.2469833	92.41588	-295.63138	2
-1696.7107	275.615	760.0032	4.6842313	82.9787	-286.36606	2
-1595.4497	265.9252	744.21796	14.430064	72.93832	-274.2729	2
-1482.5153	279.63968	697.48615	25.088522	67.8838	-259.4288	2
-1362.5171	276.3656	648.43085	38.31337	55.72841	-243.00513	2
-1249.6919	244.28181	591.00726	51.228603	45.926792	-225.8834	2
