A_X [mg]	A_Y [mg]	A_Z [mg]	G_X [dps]	G_Y [dps]	G_Z [dps]	LABEL
-880.687	266.811	339.528	-12.288169	27.418379	-16.592915	2
-874.09814	273.78918	341.83548	-12.3464155	27.006054	-19.31516	2
-884.57025	302.53876	359.4286	-14.9672575	27.826796	-15.255226	2
-927.97205	318.2579	367.64395	-14.670334	28.448778	-18.060198	2
-940.7963	339.00632	363.09134	-19.675179	29.17085	-13.871478	2
-990.1291	298.38327	347.24265	-19.911543	28.32402	-15.060042	2
-1001.1339	341.55524	345.02756	-22.699533	27.396574	-14.892324	2
-1061.3959	323.64096	325.70157	-22.970522	27.378788	-15.059755	2
-1076.1877	385.79718	352.6484	-26.941614	29.74437	-14.302324	2
-1149.4393	360.04074	341.82785	-29.402061	30.797482	-13.770484	2
-1130.0538	418.22363	369.5864	-33.662167	30.39597	-12.478343	2
-1172.069	403.65335	361.53207	-37.741608	30.10186	-13.820135	2
-1148.5258	418.51193	382.86865	-44.83777	29.706484	-11.6766815	2
-1236.9753	419.33896	426.3642	-47.434093	29.637995	-11.435492	2
-1249.3373	451.2084	418.6512	-56.960106	27.168144	-10.75512	2
-1246.1837	439.8334	447.49554	-62.015316	23.028131	-7.742521	2
-1159.1257	416.3656	426.77457	-69.03221	14.040103	-3.2870066	2
-1076.8425	361.54657	420.89075	-71.82056	10.396895	3.416134	2
-1002.9634	324.09836	405.52347	-71.61756	-0.83454424	12.016097	2
-939.6687	304.61972	382.60135	-67.31744	-5.8378105	18.857805	2
-891.4074	297.0785	368.36423	-63.324905	-12.071236	26.74859	2
-904.818	272.9756	344.23282	-57.06885	-13.48904	37.3696	2
-935.5505	285.26578	332.06616	-56.577744	-15.656701	45.07353	2
-1036.206	321.24225	332.8619	-61.27027	-18.173273	51.218254	2
-1102.7386	357.8247	377.90353	-68.60981	-17.967813	58.297024	2
-1186.5488	385.7553	376.99402	-77.78772	-24.845146	61.896416	2
-1222.269	381.93552	357.58942	-86.511955	-32.538536	65.86453	2
-1276.3105	386.14267	348.7268	-95.19938	-40.405613	68.4745	2
-1341.2181	383.68094	349.24445	-103.57308	-46.42485	66.36106	2
-1363.2676	359.10068	322.71283	-108.57392	-52.334484	65.395546	2
-1408.8241	350.47354	307.59537	-111.496346	-60.842377	64.79192	2
-1407.0352	340.5333	276.34387	-109.16529	-67.605225	60.41541	2
-1422.4999	301.23898	273.50873	-108.57162	-73.232086	59.32485	2
-1387.1691	256.92914	248.43822	-105.70368	-80.66649	61.32626	2
-1339.7693	209.4349	228.23416	-97.27225	-84.53215	64.39573	2
-1297.0186	195.40007	211.73994	-85.64181	-91.983475	66.74596	2
-1243.8428	141.6154	190.01855	-66.36789	-94.45654	69.119896	2
-1173.6072	139.96506	167.52672	-48.2152	-97.75282	75.32859	2
-1162.3811	111.65918	144.97296	-32.122818	-100.843895	81.12992	2
-1117.8213	126.707504	137.82684	-15.810921	-105.07646	88.33794	2
-1083.4058	149.9124	109.469315	2.3063905	-102.462715	92.343475	2
-1080.7467	140.98344	123.97744	12.865075	-100.57453	98.59963	2
-1048.4575	169.27455	84.84211	28.318893	-103.42516	102.81325	2
-1016.7365	198.29152	95.4173	38.90671	-101.29255	108.59502	2
-1016.42316	202.7106	86.38718	46.407864	-98.363174	112.28698	2
-983.76935	230.97772	86.98547	52.221607	-97.53821	116.073524	2
-991.1435	238.70177	74.26733	55.801594	-92.27048	117.93457	2
-960.46967	258.65204	51.447235	57.365128	-88.620544	118.38462	2
-951.3916	269.5577	65.43706	54.905033	-86.103874	120.16697	2
-914.59924	296.2783	67.27271	52.821365	-79.237946	119.802284	2
-894.4003	305.9909	55.579212	48.98887	-76.0547	117.719505	2
-889.3302	316.1768	60.846046	43.711617	-70.70183	113.02658	2
-871.1597	333.78818	44.915432	35.814095	-67.58105	109.996666	2
-834.8335	310.07944	21.368845	24.32655	-62.602306	104.17395	2
-835.19257	318.62094	48.301067	17.586273	-56.79835	100.11897	2
-815.8526	296.7821	46.459526	6.2728834	-51.881374	91.96836	2
-792.0251	291.15753	46.621174	-1.003252	-49.455563	84.76528	2
-788.0255	278.63107	44.451675	-4.031766	-44.992344	79.10069	2
-749.247	264.86877	58.613865	-7.495655	-39.383442	72.27373	2
-747.8628	260.9015	46.03249	-11.259329	-34.575016	62.44546	2
-741.9133	243.25937	56.34946	-15.345625	-29.959864	53.721382	2
-760.69025	220.96622	73.325165	-15.636364	-26.783625	46.64725	2
-773.3369	228.91516	55.66382	-20.39537	-22.85298	37.152164	2
-798.07434	208.5602	67.8955	-14.885594	-16.210659	28.635012	2
-775.80316	224.95258	51.297764	-14.651391	-12.927604	21.29812	2
-784.9358	191.37039	50.689613	-10.483549	-10.491164	14.673224	2
-792.69305	187.86281	71.144844	-9.062556	-4.6810637	4.951742	2
-801.65826	189.8593	67.885666	-5.7858615	-2.9438705	-2.5555456	2
-805.737	176.1954	97.23997	-2.0509398	1.3024455	-9.984166	2
-850.8323	176.6138	101.31836	1.7637378	6.291962	-18.117304	2
-888.1884	156.33067	126.039116	6.3595476	9.529867	-26.41827	2
-930.583	179.44872	134.33115	11.246751	13.851943	-35.170273	2
-942.9876	154.96413	141.70065	23.980328	15.1283045	-42.392254	2
-956.3641	171.69981	141.32127	35.421413	16.767881	-50.860287	2
-941.7218	189.40747	159.6963	52.451878	18.325626	-57.657948	2
-952.2173	207.01567	183.63847	67.04636	21.155602	-65.02551	2
-970.0205	229.64755	235.20761	84.67274	27.149498	-70.02732	2
-999.33685	269.5503	312.26944	100.226974	28.613401	-76.762596	2
-1025.7446	322.38217	368.53128	115.2582	30.71496	-80.41115	2
-1024.7036	386.20416	463.7546	130.48492	31.453697	-82.16932	2
-1053.8954	447.83487	496.306	141.7181	31.183432	-86.77326	2
-1055.7618	483.8208	497.08817	152.89075	29.507359	-83.5802	2
-1038.304	492.3897	440.65875	169.33627	23.591946	-81.27478	2
-1025.7623	518.53204	392.41498	183.10492	19.146637	-76.39757	2
-1021.9222	547.33154	344.6392	200.31436	12.312099	-69.27128	2
-995.6719	549.99255	326.78378	221.9852	7.669579	-60.911404	2
-1014.0041	577.8655	287.6706	241.65585	3.2454333	-50.109463	2
-1017.56165	591.2342	266.611	262.40906	-4.7985106	-39.928894	2
-1053.6498	645.8379	236.8662	277.1466	-11.762384	-29.700441	2
-1063.2609	678.3073	171.30441	285.8119	-16.77561	-20.84453	2
-1046.0571	721.0238	137.03416	289.89233	-18.885382	-11.115489	2
-1016.10803	720.239	85.056244	289.06305	-26.780886	2.0647042	2
