A_X [mg]	A_Y [mg]	A_Z [mg]	G_X [dps]	G_Y [dps]	G_Z [dps]	LABEL
-703.166	969.817	312.323	130.9008	-70.499016	-35.981003	2
-714.596	970.21204	283.4376	106.790306	-80.46797	-47.91336	2
-722.45416	910.03815	280.5883	74.410126	-80.25029	-54.49992	2
-737.7	864.52484	282.0036	58.35516	-92.98167	-60.259872	2
-715.7348	816.54645	221.17932	38.949295	-92.866135	-60.431107	2
-720.9525	777.7179	252.31519	38.945652	-106.85175	-67.93576	2
-692.6757	761.7278	227.23935	37.433517	-106.39821	-68.22825	2
-691.01245	752.6744	222.39217	51.180553	-115.85102	-74.00079	2
-663.03424	752.4105	240.74446	52.447845	-117.99461	-75.076065	2
-650.87726	733.81006	210.69662	64.93284	-128.5933	-80.09657	2
-641.8602	740.27856	174.4607	63.451073	-129.13635	-83.59692	2
-637.71716	744.48254	156.09424	73.774895	-141.5898	-91.35664	2
-625.7362	760.0835	150.35646	68.85195	-140.58617	-91.89582	2
-607.88153	726.22565	135.17012	74.26741	-148.12318	-95.05426	2
-596.8529	728.81085	114.370346	72.396065	-151.30801	-98.59995	2
-581.91516	746.75464	118.135414	76.80789	-159.68855	-105.91579	2
-558.1596	748.6661	115.84605	75.54507	-161.69072	-109.27347	2
-529.3626	781.7653	118.993996	82.06107	-167.78152	-115.7954	2
-474.31244	827.7136	119.43701	83.53867	-168.8718	-118.06439	2
-474.85284	853.0768	95.079	88.6696	-176.16559	-125.12462	2
-471.8315	891.6749	97.68898	86.99939	-178.49586	-128.21835	2
-480.55994	941.83765	89.15527	85.897156	-182.96173	-133.64813	2
-466.7109	986.0906	89.58514	83.985085	-185.66696	-132.67778	2
-495.65097	998.4519	90.58367	80.05194	-189.59189	-133.84326	2
-492.0145	1012.97614	87.95638	74.2534	-193.24438	-135.10191	2
-471.8067	991.86066	87.54301	69.11138	-195.3487	-135.1708	2
-456.60757	969.7713	88.20413	62.717327	-199.68045	-135.78743	2
-432.7776	929.1664	108.50501	64.59188	-204.23691	-140.21281	2
-442.54218	904.06775	83.017	67.05423	-203.18153	-142.54619	2
-421.5613	885.02606	73.710526	73.95076	-206.77664	-143.0194	2
-409.57446	860.0128	57.581833	87.56713	-206.66748	-144.5756	2
-406.9768	867.54224	54.02394	101.59955	-205.86658	-143.16176	2
-409.9835	884.95325	64.70554	120.70256	-206.1203	-141.59233	2
-404.39304	923.1634	44.734634	136.42969	-202.31343	-138.81448	2
-426.83945	932.6624	25.757742	147.52753	-204.37863	-135.33784	2
-429.11606	963.1747	39.643127	152.57741	-201.22328	-132.21184	2
-411.43475	955.77435	31.158407	152.6007	-201.77875	-129.8163	2
-382.21033	960.5171	-3.9310877	149.1697	-195.12897	-126.301834	2
-350.84274	978.1449	23.7629	150.07738	-191.75615	-124.923325	2
-343.81458	1008.5845	3.0919251	149.76015	-187.42093	-119.195305	2
-356.14444	1019.5992	7.539411	154.18704	-183.26456	-116.18793	2
-342.4377	1028.3936	8.20862	150.84499	-178.10178	-109.2371	2
-344.54428	1023.1912	38.087463	150.53001	-173.65796	-108.77991	2
-351.55347	1010.9869	55.820114	144.75844	-165.696	-105.76595	2
