A_X [mg]	A_Y [mg]	A_Z [mg]	G_X [dps]	G_Y [dps]	G_Z [dps]	LABEL
-1436.17	370.527	193.402	-173.64575	85.87262	78.555954	2
-1508.1946	613.425	201.8885	-213.89679	81.10158	79.39173	2
-1487.3789	620.6595	294.95322	-258.14627	68.60137	74.52787	2
-1459.5641	405.49625	321.75824	-323.30154	55.619648	70.786896	2
-1354.0118	210.30183	364.9228	-372.55005	38.564186	62.858917	2
-1278.9409	-18.958996	364.40082	-418.73166	29.65298	54.46211	2
-1164.0027	-235.56775	373.9041	-429.8882	20.746014	58.06025	2
-1101.3132	-414.90213	435.2644	-427.3633	16.346554	58.3795	2
-1025.2698	-537.694	496.23273	-381.281	2.1611302	57.63654	2
-942.19	-563.17865	463.22226	-323.39066	-0.6313376	57.627224	2
-856.03955	-543.51807	405.4393	-239.6174	-7.6967645	56.0204	2
-826.93677	-529.6224	398.86884	-171.66159	-4.4898386	55.58471	2
-787.6136	-503.18964	363.2009	-93.62812	-8.085055	55.258278	2
-791.93726	-429.5421	332.3017	-29.467987	-10.381766	53.17226	2
-730.53174	-269.82104	276.64755	37.11923	-13.410936	51.133278	2
-721.7037	-202.09763	220.86713	83.792274	-11.7325945	48.83961	2
-699.9777	-136.53372	194.96538	123.48809	-15.009927	43.41129	2
-666.9947	-74.08088	176.76404	152.75972	-17.22961	35.54652	2
-635.9025	-0.6816873	131.05815	179.52953	-17.6542	28.877228	2
-609.1688	40.590652	137.9235	188.25969	-17.278387	22.611362	2
-583.0855	122.04956	126.08079	198.6513	-21.151468	15.067706	2
-581.98413	214.61453	127.362686	201.08879	-19.697119	9.8693905	2
-583.12634	271.28143	111.02202	194.87933	-21.5857	1.6341954	2
-574.09973	317.13434	125.59513	181.54654	-19.799168	-8.936978	2
-554.9511	354.56534	115.17791	164.20883	-21.132984	-19.125727	2
-543.7579	382.7009	120.714134	139.57692	-19.050636	-27.78044	2
-506.05328	397.32938	112.993645	115.82647	-21.242994	-36.834133	2
-489.47946	431.22766	127.64737	85.14643	-19.246138	-44.62395	2
-490.51303	436.7501	137.29474	53.45729	-15.929196	-52.527363	2
-481.92508	432.05515	139.2566	21.622871	-13.073134	-63.555656	2
-472.59113	433.42905	146.91556	-12.042204	-4.2270103	-71.11375	2
-471.27856	410.07852	176.69293	-41.68014	-0.11812114	-78.289505	2
-497.32724	373.73862	185.29738	-66.309746	4.914293	-86.247765	2
-504.2543	376.12048	188.45522	-85.525345	11.057251	-90.19128	2
-513.0382	374.2482	231.92061	-102.64487	17.30392	-93.53835	2
-514.02106	353.2842	220.36993	-117.24804	22.60792	-95.22507	2
-510.02826	338.13864	237.36647	-133.5554	27.316725	-96.4125	2
-507.785	315.74112	246.03217	-144.18744	31.29227	-97.53737	2
-528.90137	318.13046	255.62733	-156.15448	38.974106	-96.221245	2
-536.44073	305.19202	254.25879	-160.88824	41.21539	-93.64336	2
-560.47504	287.52063	279.18176	-167.86148	43.218292	-90.7243	2
-578.2457	298.0478	263.2838	-168.25645	40.95097	-88.483215	2
-614.136	282.33972	261.30795	-169.31879	41.973866	-84.804504	2
-630.27856	258.7149	272.7252	-165.41469	37.184242	-81.94832	2
-634.8013	226.61244	234.5027	-163.2939	32.58362	-75.68944	2
-605.3007	189.51466	228.77448	-156.41724	27.57218	-66.64261	2
-571.72186	148.20512	190.03172	-144.07767	21.76436	-62.197826	2
-586.8364	147.34013	164.7028	-127.41162	18.468103	-55.438385	2
-611.77747	132.44371	191.4803	-111.31104	17.128012	-51.444138	2
-669.87775	133.82925	211.62558	-95.19193	11.979366	-48.425564	2
-714.8312	136.20396	216.13686	-81.758896	10.182337	-42.64661	2
-719.6099	136.53998	204.76529	-68.76028	3.3839352	-38.247623	2
-689.7543	109.31612	209.38716	-52.240173	-5.754079	-28.154778	2
-768.3323	93.3406	211.79018	-35.033348	-9.614463	-16.981771	2
-937.30994	132.28435	224.24216	-22.10424	-8.332794	-12.4275	2
-1121.8264	156.38203	229.29573	-3.3707569	-8.868849	-11.77735	2
-1340.5692	168.61327	221.76634	9.38089	-12.052759	-8.786041	2
-1552.6921	132.90916	151.84454	24.554777	-14.091651	-4.152593	2
-1729.6995	121.248405	96.06491	40.44081	-21.796364	4.2791777	2
-1837.6378	113.24555	21.290714	61.949673	-30.349218	13.510256	2
-2046.5538	130.35536	-9.258368	86.828476	-33.500957	25.921545	2
-2322.081	184.34163	29.32821	106.80368	-32.258957	34.154423	2
-2440.5742	218.66447	7.2144895	120.85474	-38.94069	40.798157	2
-2229.8884	213.70181	40.59719	135.16397	-52.669914	56.23078	2
-1882.5704	232.34737	49.970272	153.75095	-65.660904	73.48067	2
-1658.972	216.00755	59.451702	163.03854	-66.70372	87.84466	2
-1516.1039	199.78065	61.277115	170.75311	-61.272274	99.153885	2
-1384.5228	203.5836	102.98053	168.46277	-50.09312	112.44746	2
-1276.2308	181.3704	134.09213	172.65007	-39.81641	119.88877	2
-1157.064	206.15291	128.0761	168.73456	-29.741047	128.0809	2
-1034.554	223.04703	187.20615	164.45486	-20.062687	133.85286	2
-943.8396	252.87839	197.66261	154.34637	-10.216009	138.09032	2
-845.053	319.7024	197.31178	145.86705	-2.6499891	140.66484	2
-780.6998	358.4439	213.36781	129.7475	6.0301805	135.82944	2
-726.1034	375.8089	214.34274	111.89129	13.206951	129.97028	2
-677.74445	383.3054	194.085	88.037926	19.856213	121.70048	2
-619.2609	366.31534	186.2242	58.28693	21.650066	110.54226	2
-566.4702	339.02518	186.65947	31.128916	21.79065	99.52489	2
-465.7957	304.7773	184.59679	7.3633103	20.965748	90.08808	2
-409.694	285.9891	170.99037	-16.042898	21.830599	80.53025	2
-373.57684	245.12138	160.40607	-34.64472	22.32721	71.64623	2
-365.60373	217.73631	202.67769	-45.880577	21.174652	60.858883	2
-404.51477	191.78319	203.11754	-58.54838	20.411587	51.507404	2
-462.85406	182.72748	214.10997	-66.95033	15.202199	42.009422	2
-517.32654	154.99617	227.88963	-70.33037	11.274082	32.904625	2
-538.9881	116.93299	206.64421	-70.85084	3.0504997	26.50055	2
-567.4183	86.977646	203.51025	-72.41466	-7.8313255	20.393614	2
-562.93616	17.414368	197.69067	-62.90885	-16.900087	14.644739	2
-527.337	-17.273664	184.97234	-50.127445	-25.507908	12.95867	2
-490.3033	-30.62575	187.01534	-31.265944	-36.32525	10.711787	2
-489.01898	-34.907013	162.78287	-13.173397	-43.100307	8.442907	2
-541.24615	-54.46168	137.25488	5.6694503	-45.40928	5.2480855	2
-623.3957	-44.570843	122.10199	28.550272	-48.428146	-0.09542551	2
-737.19336	-25.387316	98.27841	46.297832	-47.05602	-5.7046795	2
-838.4638	-9.17111	108.455536	66.96682	-47.746403	-12.620885	2
-911.0516	25.1777	82.61173	93.26551	-47.325947	-19.681198	2
-1075.4342	54.562775	96.89022	110.131355	-44.57215	-29.57366	2
-1369.3723	101.75884	95.647835	128.35652	-34.58727	-43.685333	2
-1786.2886	157.98392	81.89806	140.02742	-17.593922	-67.34067	2
-2151.0215	187.49246	96.26383	150.5654	-14.089452	-88.35415	2
-2374.3457	280.2885	149.50208	162.46156	-13.421537	-103.56965	2
-2332.3792	462.1825	299.34534	177.34618	-20.33048	-114.94446	2
-2049.084	621.01526	419.75433	187.91092	-21.369358	-128.74902	2
-1745.8223	752.2926	566.9251	186.70386	-21.347828	-146.30971	2
-1526.8964	821.1349	716.57916	168.88	-9.452422	-161.79375	2
-1389.168	821.6741	799.34106	134.26656	6.5172415	-176.38026	2
-1312.5481	779.6268	815.7753	95.933784	18.081923	-180.7751	2
-1249.2775	691.9756	780.3373	57.14163	24.96575	-180.90688	2
-1170.2805	596.83563	685.2224	13.243461	26.690825	-177.31853	2
-1084.0234	496.5955	556.1189	-26.09843	26.243984	-169.3965	2
-1028.219	407.09027	434.5014	-60.363926	22.035984	-160.01305	2
-1001.7377	389.81366	280.97018	-91.604095	24.894161	-152.34543	2
-1009.02716	377.13132	153.82649	-113.46824	26.985651	-149.02156	2
-1029.276	328.58646	74.47431	-132.45023	23.407598	-142.9849	2
-1003.5462	279.5061	18.645016	-139.76233	18.38031	-135.84889	2
-931.71405	204.62251	26.73744	-140.65523	13.99474	-124.613625	2
-835.37317	104.49134	74.67835	-130.34909	4.693876	-111.98173	2
-761.76306	-14.804191	90.139725	-103.72151	-2.7506378	-102.369	2
-687.9745	-112.83827	94.93704	-65.72021	-9.584388	-92.307236	2
-650.55615	-189.44849	117.26232	-19.993515	-12.694573	-82.777504	2
-652.1984	-215.08304	134.18771	35.84518	-18.237917	-73.81397	2
-660.3868	-185.97635	120.23078	94.370094	-20.176308	-60.846954	2
-632.815	-104.61966	118.38491	147.03844	-23.900885	-49.35111	2
-611.0401	-22.529442	88.52023	188.17029	-25.97054	-36.790676	2
-602.56	15.735101	87.16439	226.9276	-30.310713	-23.209764	2
-578.2939	62.900635	67.1384	254.33179	-28.790085	-15.752862	2
-567.3399	122.27916	65.22557	278.91742	-31.851536	-7.9998507	2
-561.326	205.64267	57.1314	297.6921	-34.342678	-4.0363226	2
