A_X [mg]	A_Y [mg]	A_Z [mg]	G_X [dps]	G_Y [dps]	G_Z [dps]	LABEL
-159.77856	628.452	714.34283	-5.8249755	16.924887	-6.9369144	4
-129.68065	605.2155	742.4757	-10.397389	16.47144	-5.6267734	4
-122.73121	582.05695	703.2236	-13.6119795	18.855803	-5.8826556	4
-195.1942	554.1899	702.488	-16.145605	16.701065	-4.9474797	4
-292.5692	633.326	758.8681	-13.853082	15.008822	-3.6306229	4
-394.43716	660.26086	731.1919	-2.2966993	13.366973	2.4752865	4
-457.65704	615.3609	775.403	1.6980798	11.902593	7.0254884	4
-436.35748	532.628	748.0114	-5.4982166	8.249695	4.93232	4
-397.87222	397.33395	630.51495	-7.5947075	5.2888694	0.7751768	4
-277.55264	275.63605	653.09	-13.063626	5.607505	-2.8070517	4
-98.35238	300.2962	637.2632	-10.102655	7.888285	-8.989638	4
-13.657739	418.1345	712.24084	-0.5453253	11.703831	-9.924164	4
-47.383667	575.72797	793.1131	9.191942	16.284307	-9.114907	4
-147.35406	701.5781	842.96387	14.524267	15.890491	-9.036353	4
-243.07916	746.2354	935.72577	11.436259	13.809581	-7.5463133	4
-279.23712	778.3333	932.0835	3.150389	6.471937	-6.093821	4
-286.54163	657.746	822.50385	-0.7114539	2.0829108	-0.9164303	4
-282.95547	586.56635	763.59753	0.31523526	0.64504814	-1.0485672	4
-285.25308	520.5539	709.8232	3.3662653	-3.6649065	-3.332858	4
-279.6495	442.13837	721.07025	7.2066307	-1.6654234	-2.076424	4
-246.73045	513.4186	815.78906	7.3008757	1.0855588	-7.0553885	4
-253.33842	582.473	746.5535	9.077196	0.6294638	-6.871877	4
-277.25607	546.4205	807.5346	7.830148	2.402696	-6.0856194	4
-242.44511	557.74445	858.2019	2.323418	0.96846086	-9.754226	4
-218.49094	579.27075	773.5581	-0.20142108	0.8093653	-13.002977	4
-192.36923	587.4077	738.3031	6.8982005	3.5962563	-8.935312	4
-153.46632	629.03876	785.1265	12.37755	3.1051219	-8.8688135	4
-124.17547	655.9888	759.7342	13.610919	2.9657803	-12.5252075	4
-118.709755	617.06	783.0296	7.751578	5.617282	-10.011437	4
-107.79919	597.8579	818.20825	-1.8976957	6.8621273	-14.07667	4
-130.99048	577.6024	799.93176	-5.017977	3.7111163	-12.813939	4
-187.39209	569.297	867.3591	-6.5180855	8.073215	-14.977116	4
-224.58984	623.8955	848.3732	-6.2151656	0.84988064	-16.10338	4
-274.57703	583.8891	797.43695	-2.0925577	-1.987605	-12.195417	4
-233.58664	456.3609	706.46564	0.81698054	-1.1025645	-10.527882	4
-227.72874	383.31168	701.1911	-0.9393657	-2.0053082	-16.584515	4
-221.97224	400.16748	716.39355	-4.22204	-1.2414844	-22.727102	4
-191.15121	470.93265	781.36926	3.5593066	0.8793974	-21.376787	4
-154.30612	618.2198	779.78284	11.919643	3.3408082	-17.55076	4
-178.91983	694.9929	815.0955	14.131883	3.9937198	-17.456669	4
-200.9704	738.7152	844.59436	6.867281	3.282552	-19.575333	4
