A_X [mg]	A_Y [mg]	A_Z [mg]	G_X [dps]	G_Y [dps]	G_Z [dps]	LABEL
-288.989	1076.1	7.91387	154.82924	-28.555128	6.236703	3
-302.01877	1173.3239	-16.882715	150.45398	-24.735508	11.80759	3
-301.28455	1250.1473	-7.487444	131.2789	-23.470661	14.8732395	3
-284.98557	1310.8184	12.022265	115.655754	-25.417107	19.12432	3
-296.46802	1269.837	33.356007	80.73336	-24.106104	21.798275	3
-248.46422	1242.0604	9.026771	56.83663	-23.37926	25.044207	3
-250.07686	1143.0537	43.513012	25.730062	-22.631554	25.946543	3
-209.32379	1076.1005	13.074279	9.621023	-22.370058	28.022476	3
-185.46597	993.8033	41.465477	-7.613839	-22.43719	28.828068	3
-116.299515	936.3757	64.96231	-7.68041	-24.4694	27.669214	3
-92.434975	878.0074	75.045784	-12.650392	-24.295269	22.07613	3
-60.12077	849.87897	46.898952	-1.0729647	-20.842106	17.92049	3
-66.05821	844.0132	52.016586	3.9620714	-21.950537	14.246533	3
-59.860546	909.544	37.469334	21.940351	-21.311209	10.927539	3
-77.30763	950.35626	26.235693	31.774689	-18.54817	8.213608	3
-68.66493	1034.8092	6.6449327	45.693504	-13.72251	6.6771507	3
-66.018616	1090.1952	-6.5646677	51.97022	-14.677768	5.1992435	3
-9.88726	1149.0934	-33.49722	57.7348	-12.713181	4.091645	3
43.33815	1187.6508	-44.769203	54.820366	-9.224735	3.9413607	3
74.83115	1224.3987	-50.093002	50.69206	-7.108377	4.0522523	3
75.61521	1279.0432	-40.893566	41.886158	0.42976555	7.4917183	3
82.7348	1290.529	-52.422066	34.498634	3.462133	9.459386	3
85.238174	1292.9348	-32.42847	19.756716	7.272052	10.613136	3
103.37383	1274.0945	-20.302534	9.887965	10.519839	12.834523	3
97.377014	1232.1066	-52.10057	-0.21104723	17.04556	12.406715	3
83.37674	1219.791	-69.797935	-7.7035785	23.571835	16.342089	3
90.60439	1211.7352	-77.187454	-7.317042	31.088364	20.743107	3
83.09081	1196.1748	-88.76939	-8.580032	39.11204	24.726206	3
54.24898	1197.0935	-89.54996	-11.608623	45.579185	27.55948	3
29.87937	1189.2611	-87.42932	-17.166677	52.38267	30.811749	3
24.342964	1175.805	-62.908897	-25.119965	55.767635	32.459797	3
43.842876	1131.6526	-42.114033	-31.8578	60.189632	33.882698	3
55.09847	1085.3484	-11.823748	-41.297688	67.00681	36.48811	3
56.60903	1016.7549	13.1720495	-45.651897	69.00775	38.331802	3
68.2489	989.2946	13.5414715	-43.464336	71.72318	39.04008	3
52.78072	963.50354	34.157997	-45.250874	73.67208	42.13459	3
38.81096	931.5292	58.557243	-39.795387	74.21323	43.017788	3
30.883598	906.3388	56.708626	-43.145363	77.77649	40.12144	3
6.804392	860.7508	63.04804	-47.041626	78.139046	36.861557	3
-15.118828	819.56573	64.59258	-50.27683	77.96492	31.770285	3
-42.622646	797.9551	52.365036	-53.32724	78.17039	27.022753	3
-88.99348	772.2146	72.20297	-56.81566	77.67646	17.783337	3
-105.2582	751.2293	105.79149	-57.392162	78.72248	8.030517	3
-171.17744	738.40967	107.08137	-60.3199	79.70984	-3.9060621	3
-205.2881	730.4073	129.83546	-61.288685	77.67571	-15.171837	3
-249.22661	726.07764	173.58266	-70.85739	73.33613	-30.391823	3
-301.69113	695.7824	217.31987	-78.87276	70.2366	-45.975765	3
-327.39624	640.4514	234.57281	-86.60635	63.94376	-63.125885	3
-355.35538	570.9612	243.15428	-97.082245	55.85328	-82.92139	3
-391.9324	503.49844	267.95352	-103.24352	47.355988	-99.84411	3
-411.32672	455.13818	191.38951	-106.86444	39.748085	-117.84573	3
-435.6289	407.77838	176.97375	-103.86966	37.765835	-137.3604	3
-465.68448	401.36	164.63223	-92.37451	33.105206	-153.717	3
-516.32764	394.1895	186.17462	-77.195885	33.551243	-169.6019	3
-581.3836	428.919	213.67076	-63.33912	34.81996	-184.93768	3
-665.48114	474.94144	297.4023	-55.7725	29.987581	-201.25085	3
-725.7784	505.7828	306.18527	-56.059116	24.651693	-220.13257	3
-765.7346	539.73016	283.27203	-68.33123	19.097292	-236.74956	3
-839.11993	536.36176	307.2467	-81.628456	11.7698	-253.13086	3
-903.17957	541.2314	313.2642	-98.023125	6.3759637	-268.18204	3
-996.8007	519.1848	320.14868	-112.34755	4.1761136	-276.28436	3
-1035.2185	501.98196	327.73358	-122.46243	0.68923795	-284.59128	3
-1101.5258	482.36972	365.15277	-126.416435	-2.5687995	-291.23947	3
-1147.1855	468.59875	368.71375	-120.955505	-3.1075828	-294.90723	3
-1184.1523	459.81802	385.83606	-111.696884	-3.561383	-298.4158	3
-1268.1803	432.24136	374.80566	-94.01121	-0.8250983	-299.4068	3
-1334.7378	408.07043	388.631	-77.02609	-0.78827286	-305.54858	3
-1434.1482	416.5047	398.94357	-57.259644	-2.8052099	-306.8781	3
-1515.0696	461.8675	408.45065	-37.28739	-2.0691714	-305.9415	3
-1549.878	495.79718	383.5786	-15.395239	-4.4459124	-303.00565	3
-1549.304	534.35474	398.8932	3.5978036	-6.05277	-295.29984	3
-1508.9241	555.2561	381.2417	22.279615	-8.833676	-287.26447	3
-1480.3453	546.902	366.02417	40.834534	-12.210625	-279.3563	3
-1437.5852	579.243	367.1201	60.286263	-18.774916	-268.91434	3
-1385.372	631.3823	352.22122	72.84301	-20.325426	-253.88301	3
-1309.5458	668.2329	337.24203	82.53469	-24.459532	-235.02956	3
-1195.7861	693.8665	324.95364	81.54017	-29.640448	-217.62413	3
-1073.8197	721.79736	327.72495	71.24216	-31.59236	-199.35669	3
-984.79895	732.3587	352.11847	53.83657	-34.373924	-179.77287	3
-896.23444	765.67365	342.85022	35.88783	-34.126904	-158.96375	3
-822.94037	749.1823	329.76797	16.758928	-35.842957	-139.04771	3
-792.64233	727.9538	340.5837	-2.458322	-36.69922	-118.07615	3
-756.9279	705.53674	322.97488	-18.320726	-36.66492	-96.73462	3
-713.2038	664.7011	300.82507	-27.472033	-35.304577	-76.977066	3
-664.04425	619.901	276.09766	-30.846783	-33.769196	-57.29793	3
-637.2521	617.571	299.8329	-30.64297	-30.706257	-41.464508	3
-615.4374	628.5797	288.6504	-24.41086	-28.931383	-28.19425	3
-631.4796	625.60455	272.46857	-17.151453	-28.478422	-14.294143	3
-630.1788	659.5102	279.7172	-9.888823	-26.232702	-1.035121	3
-647.8895	705.9256	275.71057	-4.305413	-25.239586	9.830887	3
-657.55194	755.6346	274.926	-0.9621601	-24.474728	20.209253	3
-667.79224	764.06805	271.0604	-2.2908535	-22.550499	29.40422	3
-665.3489	797.8414	263.4023	-5.4738	-21.489262	41.115997	3
-665.6949	826.292	261.55008	-10.393986	-20.265265	50.399372	3
-681.55536	851.57263	255.61829	-14.390067	-16.062363	60.542706	3
-681.10175	833.1488	253.79666	-22.216623	-16.470097	70.899506	3
-684.6778	845.6686	238.234	-24.009394	-15.998657	78.18007	3
-673.03595	850.8983	215.11736	-24.260181	-11.077304	88.58614	3
-696.2237	861.91394	212.96997	-26.073664	-8.754175	98.297485	3
-679.6287	865.58075	186.09195	-29.267561	-4.6133695	104.644684	3
-673.9136	866.83936	206.29927	-28.755663	-0.93583393	110.65808	3
-667.36145	879.8972	205.12398	-31.21143	4.0214176	114.999855	3
-676.2305	898.1861	163.49147	-28.243744	7.5401616	123.26573	3
-692.91504	946.6254	170.25966	-28.720663	14.403443	127.719666	3
-698.05273	964.2592	127.82288	-25.461079	19.249052	135.17657	3
-719.57245	979.6038	150.21722	-24.033861	23.35292	139.95999	3
-731.63354	1000.21045	126.60822	-27.467173	27.939552	146.17639	3
-751.9039	1042.0323	114.417015	-26.084871	33.651527	154.4356	3
-789.4471	1072.7336	90.086754	-26.185648	42.263905	159.86725	3
-814.6466	1147.6686	69.68466	-27.18554	47.48259	169.31128	3
-842.56976	1234.0898	45.172504	-28.466124	54.7864	179.6579	3
-886.2406	1335.5099	8.195064	-28.766668	62.864613	193.04054	3
-923.9479	1431.9806	21.389622	-26.393755	74.26266	207.33974	3
-982.4826	1476.9451	-5.486153	-22.923542	83.62156	224.39185	3
-1046.2832	1539.8142	23.144299	-26.567871	94.50079	240.01291	3
-1141.8271	1596.6418	24.119864	-36.05768	103.44726	258.087	3
-1201.1262	1636.9102	19.903028	-53.823967	109.66144	273.206	3
-1251.3706	1689.3201	-14.1093235	-67.37375	116.843765	290.19254	3
-1311.9293	1771.3756	-74.426	-84.68941	123.01746	311.38635	3
-1385.5535	1873.0166	-92.12228	-90.39466	125.99282	331.63065	3
-1493.6138	1966.1924	-110.610565	-87.51059	129.93697	349.14087	3
-1601.3395	2098.6765	-147.70753	-81.01795	132.67873	369.2166	3
-1742.3258	2126.3933	-169.53493	-73.76521	132.3022	387.58798	3
-1810.9755	2079.9104	-189.39108	-70.55383	130.4664	402.21054	3
-1823.888	2072.0623	-184.30086	-71.76845	127.524216	409.76904	3
-1842.7501	2054.3657	-224.29362	-74.784035	127.34712	417.25458	3
-1805.3816	2038.3726	-220.38852	-79.83022	125.77943	424.14874	3
-1783.5012	1960.8339	-198.65704	-77.629425	122.530914	430.7789	3
-1724.2338	1772.2949	-208.52728	-68.71353	118.91217	434.30463	3
-1598.0873	1569.7432	-197.43129	-54.154705	117.973366	429.95847	3
-1494.7086	1494.3676	-172.54091	-35.201527	119.35397	425.28665	3
-1436.161	1542.4807	-148.02222	-20.553871	119.51181	419.71954	3
-1448.9272	1544.5048	-184.0859	-9.627926	121.34705	410.14005	3
-1401.4454	1466.5906	-206.99184	-5.3793697	126.585434	395.84042	3
-1346.7908	1340.2273	-200.10986	-13.01605	129.51703	377.8715	3
-1309.2622	1166.6055	-211.26357	-21.570557	129.34416	355.0761	3
-1213.5487	953.64056	-200.44443	-16.312155	126.31589	335.03836	3
-1066.5199	714.4829	-201.61134	-16.717522	126.62644	308.15695	3
-894.3908	501.55225	-203.39015	-13.7663145	125.8597	278.8651	3
-780.6848	296.47552	-174.355	-6.88544	126.30135	247.48204	3
-697.04333	165.36342	-169.19257	4.190442	130.89322	217.43723	3
-640.45374	43.419796	-170.75043	23.481295	137.32607	187.41228	3
-599.6984	-17.972443	-157.59738	44.04896	144.64082	160.22086	3
-608.35657	-50.135666	-140.02786	66.06805	150.71472	135.6845	3
-600.6533	-59.99699	-98.79836	86.68301	154.99303	111.5191	3
-596.65216	-43.87631	-42.489918	103.18992	156.29555	86.01328	3
-604.5234	-72.25058	22.162468	114.96452	155.3696	60.000896	3
-588.08276	-126.15327	63.932526	111.92901	148.04028	32.324406	3
-587.9503	-235.70116	98.427925	98.50611	140.2549	1.5289924	3
-567.6453	-298.7046	145.41809	80.56158	130.02666	-24.63832	3
-538.0999	-377.52347	140.65048	68.474625	116.21978	-51.57904	3
-515.9426	-429.31757	135.3218	59.70148	103.589966	-74.464066	3
-524.32385	-447.31326	88.28685	56.964565	95.09438	-97.39367	3
-565.41583	-407.75784	70.7377	62.521908	87.21883	-117.65795	3
-614.6881	-349.6125	30.372746	65.77865	73.787796	-135.5936	3
-683.9992	-288.65796	-0.54777277	61.891724	62.139988	-157.60522	3
-740.15125	-247.91942	52.832424	56.076958	53.251682	-179.53821	3
-734.36273	-236.8569	102.76421	41.227684	43.014427	-202.02968	3
-760.69104	-219.62949	137.64587	24.5545	31.32201	-222.8185	3
-795.0805	-218.1219	216.6063	14.4744625	21.439873	-240.02177	3
-845.8093	-175.12064	255.16081	11.331416	6.3422627	-256.76517	3
-907.64813	-137.22232	281.8074	12.419539	-10.964366	-276.68594	3
-969.8961	-124.18008	222.89076	15.106045	-29.970444	-298.6342	3
-1002.6226	-120.01324	117.07015	26.355818	-49.881203	-323.69467	3
-1053.8798	-90.15602	22.959778	35.87	-61.54356	-350.41577	3
-1153.3159	13.535409	-65.444855	44.34562	-74.49159	-377.60425	3
-1371.5343	213.8774	-34.581993	35.66967	-87.26599	-410.29785	3
-1680.0767	403.16974	-49.545162	15.756635	-101.660706	-449.95554	3
-2037.9476	712.9607	-43.706738	-17.534872	-111.516396	-487.15256	3
-2579.5022	1058.2892	95.62123	-39.84512	-112.6513	-508.0299	3
-3058.289	1592.0977	305.2303	-39.23998	-122.44347	-515.9653	3
-3368.3381	2183.1758	537.36066	5.3438635	-140.27678	-510.12308	3
-3595.1575	2923.071	816.7849	55.941986	-147.44722	-491.30173	3
-3767.4695	3734.5093	837.5401	78.986725	-155.79033	-454.63257	3
-3554.2068	4054.1821	733.2739	86.76276	-166.88446	-391.86374	3
-2915.4685	3889.1995	668.69543	69.43445	-166.53867	-313.64337	3
-2282.0361	3407.121	450.63245	55.382053	-153.17136	-242.94846	3
-1799.563	2972.1204	236.20601	62.33494	-131.54015	-187.85931	3
-1364.9438	2545.7607	178.37132	92.51555	-110.7362	-143.43117	3
-939.3824	2152.2	214.333	122.17608	-95.02986	-110.04561	3
-620.5435	1881.4879	222.3912	142.5794	-91.371925	-92.5176	3
-389.73914	1726.7908	199.54776	147.32516	-92.64711	-83.781265	3
-155.942	1568.0974	177.07294	152.78622	-93.910965	-74.785866	3
54.248207	1469.317	142.81956	144.66325	-98.72648	-65.7643	3
240.63435	1326.2802	105.0026	129.32721	-105.258575	-61.493015	3
408.1214	1178.7708	68.05807	112.58185	-111.83134	-56.384182	3
512.1952	1034.4401	48.84687	92.88289	-117.950935	-51.52557	3
627.8354	879.67725	7.3467045	77.586464	-121.14742	-46.522587	3
717.4567	731.50146	-28.218922	67.05908	-122.70182	-37.370354	3
811.6928	610.9424	-79.20579	64.94182	-118.72743	-28.83174	3
920.90607	541.1895	-104.47212	68.2483	-116.633705	-17.972443	3
976.67615	513.67163	-135.11212	79.75167	-112.52488	-8.3351755	3
1001.6159	537.4118	-167.42517	88.05585	-102.89495	4.5089455	3
980.876	555.3112	-183.31818	93.78821	-90.38136	17.929882	3
918.1727	592.41205	-183.72223	93.31881	-73.52364	31.60944	3
841.7864	644.24506	-157.40536	85.77148	-61.76408	40.67465	3
780.81323	755.16406	-170.43898	71.91435	-48.35245	53.94637	3
708.793	830.9222	-134.38225	60.541195	-28.234991	69.874596	3
635.5105	923.1686	-138.59154	46.12581	-12.862202	86.00277	3
589.99347	986.99097	-146.06578	31.372663	1.8454059	101.043785	3
520.5062	1068.0101	-138.19568	18.680765	20.918633	115.709656	3
446.16376	1174.0238	-142.59361	8.012561	40.204544	133.22675	3
373.31512	1310.3447	-175.11877	2.2882013	58.295097	152.10999	3
278.4632	1465.1271	-203.60939	-0.93363273	76.176506	176.48923	3
143.32843	1609.8112	-247.57	-2.752736	97.89747	200.3215	3
-24.715263	1742.1595	-254.53812	-6.5471396	118.642044	223.56352	3
-187.82916	1996.3525	-313.77844	-12.872128	135.39012	243.02	3
-386.07913	2348.1543	-334.42157	-20.934872	150.59787	262.74203	3
-624.8193	2791.4573	-348.60388	-28.893679	160.98323	284.8031	3
-893.1977	3220.6223	-397.75137	-42.909786	170.24959	309.628	3
-1153.3756	3453.4111	-360.83478	-56.44446	180.65651	334.47165	3
-1216.195	3430.1338	-347.95596	-70.358215	187.22249	359.33853	3
-1141.5271	3296.26	-274.0815	-86.02502	193.6669	381.2914	3
-1153.7023	3218.4805	-210.61122	-92.99213	194.80447	402.3007	3
-1275.4069	3197.3037	-175.07669	-91.5403	199.19005	419.0418	3
-1437.6089	3141.694	-96.08829	-80.66338	200.3842	425.52393	3
-1552.4136	3021.4094	-19.056671	-73.84492	194.34145	426.87708	3
-1564.1753	2878.1584	21.881376	-73.161995	187.89662	421.06973	3
-1609.4355	2635.7407	18.140451	-74.150246	177.13405	408.64365	3
-1672.1685	2340.0945	-14.620041	-83.147934	165.31143	390.22153	3
-1689.3025	1989.7325	-60.059532	-93.39038	146.75801	363.64984	3
-1619.1721	1573.5176	-97.08152	-100.59486	130.36928	334.36667	3
-1494.5134	1171.8535	-133.48018	-97.38227	114.841034	305.08945	3
-1384.207	872.84924	-187.521	-85.78931	101.01528	273.81335	3
-1258.094	604.5378	-175.23853	-66.29397	96.93508	243.10489	3
-1177.6696	384.128	-196.91579	-43.60943	94.01806	214.79373	3
-1089.88	174.28897	-203.08171	-22.579884	94.91558	186.64359	3
-1051.4039	19.903261	-208.87236	-0.12980965	98.57351	159.0017	3
-1005.7544	-140.83124	-208.49329	21.57375	106.47472	132.57893	3
-975.61	-224.51402	-219.16563	39.777	110.4102	105.17747	3
-929.7597	-286.09384	-204.21988	55.478745	117.3978	78.438705	3
-910.1959	-326.18436	-156.4123	63.411774	123.11625	51.461864	3
-891.8764	-385.79758	-163.75668	63.557842	124.37586	25.005835	3
-879.1756	-419.44852	-111.78146	57.413696	125.83306	0.26132435	3
-897.82916	-476.77267	-113.825966	44.75327	118.71182	-29.471724	3
-860.40704	-526.76746	-95.397224	32.75689	113.74647	-55.82788	3
-836.3109	-550.3134	-71.50024	21.188242	103.68082	-78.3532	3
-840.6184	-569.79114	-99.93714	14.31179	95.9316	-100.94097	3
-876.70514	-544.5967	-97.11846	13.607876	87.35952	-124.08899	3
-924.9878	-546.87244	-108.37522	12.994809	82.585686	-147.74863	3
-1010.9601	-488.01935	-113.690285	17.111633	75.32046	-171.78572	3
-1080.7654	-432.24323	-126.36628	20.574951	65.57009	-195.23022	3
-1156.4675	-349.5258	-128.21304	24.361113	53.73436	-215.05307	3
-1176.805	-298.08087	-118.19905	30.795889	39.518517	-233.45523	3
-1169.8452	-248.93408	-98.02501	31.176037	31.275074	-252.39014	3
-1179.243	-237.30434	-90.381805	25.31936	21.814383	-272.57425	3
-1249.8618	-146.20932	-46.115177	14.475362	11.663329	-295.33112	3
-1344.4329	-43.248077	-19.747847	6.910901	-3.8259878	-323.93512	3
-1478.1892	102.50863	3.1636477	-2.6306014	-15.205676	-354.74225	3
-1542.4565	245.48894	31.627678	-10.143364	-26.535055	-388.7993	3
-1653.9044	482.18723	62.067158	-13.076917	-28.083498	-418.1206	3
-2026.3254	764.9923	147.34315	3.1965573	-27.9219	-434.65802	3
-2614.5166	1244.6956	225.22552	48.479744	-36.753033	-434.00916	3
-3139.056	1852.3938	329.9931	120.38977	-49.650787	-433.7242	3
-3223.8057	2487.168	481.90622	186.90178	-66.74271	-416.18542	3
-3264.9841	3189.8242	504.533	233.04195	-79.76837	-385.61447	3
-3084.9863	3913.7737	445.0492	239.89703	-95.49327	-326.05057	3
-2617.6853	4201.856	521.15283	207.88412	-104.79508	-258.74982	3
-2205.385	3677.0977	466.07657	172.82932	-100.79602	-224.15012	3
-1787.1603	3218.7803	431.3232	137.95645	-97.79088	-187.13435	3
-1369.1492	2741.08	389.49252	102.75597	-94.5104	-150.5596	3
-948.4029	2262.8416	348.52988	66.978676	-91.238556	-113.577156	3
-717.2298	2006.2004	305.3248	75.55458	-88.85368	-102.210144	3
-516.1294	1860.7202	289.65604	94.100815	-85.74049	-98.333496	3
-322.25204	1734.9423	304.983	108.53728	-86.51184	-93.702614	3
-138.75024	1611.4261	312.02252	114.46146	-87.18027	-88.767166	3
81.971275	1478.1425	294.5171	105.44515	-88.78075	-82.6439	3
