A_X [mg]	A_Y [mg]	A_Z [mg]	G_X [dps]	G_Y [dps]	G_Z [dps]	LABEL
611.4627	-163.07928	-207.09229	-130.08508	183.03871	99.13718	3
612.9346	-171.60953	-214.90166	-105.90185	198.7178	89.87229	3
766.967	-10.503551	-310.6098	-81.19798	210.85806	75.45866	3
981.64465	225.12648	-274.09973	-54.41537	226.26634	38.21	3
1257.9807	1868.0869	-907.4339	-36.72551	238.34142	17.059881	3
1117.8049	4490.2217	-1227.5452	50.57675	261.4944	13.686811	3
86.39555	6855.844	-2493.2976	250.57692	228.10939	91.25427	3
-1516.0048	8560.737	-3933.6777	306.05707	274.26312	66.57067	3
-4313.0693	10201.25	-3960.3848	175.13918	440.3257	64.69944	3
-5304.3228	8443.852	-2614.201	12.50309	462.7631	207.65244	3
-3295.513	4686.821	-1066.9456	-190.12288	338.73474	187.67815	3
-1391.2191	2868.4868	-894.1922	-329.2738	252.2003	190.48003	3
-239.6437	1568.9526	-569.13446	-342.27377	266.7075	282.77533	3
264.07266	1035.8044	-758.2266	-281.0494	310.72867	329.1948	3
357.7144	610.6462	-565.1933	-214.30276	338.69046	351.69168	3
-134.8664	619.5128	-660.6458	-145.0325	353.63837	360.37238	3
-674.2073	610.69556	-500.01242	-84.72057	366.6442	358.6754	3
-1139.7313	655.93823	-503.85776	-54.013355	371.12213	348.8367	3
-1378.487	435.22827	-367.2981	-48.183445	368.0555	326.41446	3
-1433.8337	160.51865	-268.58005	-38.49154	356.1277	302.097	3
-1261.7345	-146.82428	-77.68182	-24.070946	334.89114	278.95676	3
-1070.9935	-277.82013	-24.173449	-0.35611126	321.9395	252.53041	3
-1020.93414	-413.0557	-9.608063	33.890476	317.12344	227.96951	3
-1070.1432	-445.9468	-33.609585	64.4462	312.74292	199.39374	3
-1246.792	-321.53705	-149.69553	67.980385	305.17252	168.62172	3
-1453.9266	-299.89355	-218.73422	53.234924	287.9971	139.52596	3
-1628.6132	-525.16766	-345.2443	30.9036	259.83792	98.70552	3
-1621.9954	-887.2221	-399.5972	6.978246	222.53331	57.224457	3
-1527.7812	-1061.1929	-507.74774	-12.746426	175.37291	19.247644	3
-1374.3153	-1270.8787	-444.8687	-30.931536	127.61312	-13.03692	3
