A_X [mg]	A_Y [mg]	A_Z [mg]	G_X [dps]	G_Y [dps]	G_Z [dps]	LABEL
-823.074	260.449	112.63	29.182919	9.360985	-193.82417	3
-782.2801	231.07768	106.71373	34.92238	13.812165	-194.25603	3
-690.8407	209.67447	143.91154	37.307922	15.226823	-186.62924	3
-706.7311	220.61938	164.15724	37.26494	15.716423	-191.28987	3
-631.37726	171.15181	210.51096	27.601019	19.36846	-179.45558	3
-683.36304	158.09743	237.79669	15.767968	24.530535	-182.89558	3
-658.89307	83.929596	277.0312	-0.34595126	29.132547	-173.33102	3
-818.4632	57.67145	290.29782	-15.129599	33.175804	-179.35246	3
-971.15753	19.522762	349.66623	-27.776598	36.588646	-168.76038	3
-1247.0974	23.15423	368.70908	-36.319473	42.68031	-173.51682	3
-1382.555	-34.577602	394.84494	-43.9784	39.37355	-165.35504	3
-1528.0947	-68.643555	324.49146	-45.792736	37.496006	-169.5903	3
-1592.4921	-142.63313	348.27182	-40.168056	32.00263	-158.47171	3
-1699.8192	-131.73808	262.2224	-24.361204	29.04571	-157.98703	3
-1671.8854	-134.34418	277.5521	-6.075606	23.378202	-144.78474	3
-1656.2937	-107.54516	234.04083	15.565864	18.782158	-140.20128	3
-1634.6394	-91.15222	295.99896	33.402336	13.48205	-127.64734	3
-1682.8842	7.1002007	355.02502	50.269463	16.073404	-120.78744	3
-1677.1787	80.91671	461.864	65.34671	13.148153	-102.45293	3
-1709.9049	162.71573	543.1981	75.586716	17.004574	-85.07456	3
-1672.8209	219.50453	641.69635	90.02029	13.225603	-62.501297	3
-1641.1707	321.86813	656.614	102.97519	9.631688	-37.993343	3
-1593.9167	367.9024	662.5706	114.87472	6.359604	-13.807755	3
-1517.1105	385.55948	639.30963	120.43378	6.119176	6.332289	3
-1384.5581	442.50797	565.3188	119.6259	1.8301686	25.8241	3
-1291.1691	465.76376	491.01685	117.44294	0.40944508	37.598866	3
-1179.5579	475.44092	460.02563	111.58303	-0.555077	49.659348	3
-1062.3479	481.11044	402.5488	110.88337	-1.8149551	59.3571	3
-930.05963	488.322	347.33707	116.82141	-4.386069	67.43218	3
-791.9271	479.7081	319.30948	126.452965	-6.541608	73.34385	3
-608.5921	467.11646	261.09955	141.92188	-12.063436	75.41775	3
-393.5602	470.55045	159.63092	163.3585	-17.307688	76.45543	3
-186.31221	524.95135	113.60739	181.22046	-15.359477	71.248055	3
50.13988	638.5912	142.06801	193.3237	-17.479254	67.24766	3
204.8635	803.789	179.19234	203.9405	-13.18984	57.137184	3
404.1615	937.0502	263.16428	196.51247	-12.212683	51.34162	3
565.17645	999.611	306.66998	180.1369	-12.889257	47.718502	3
756.6529	1019.77484	323.23798	155.50888	-11.101492	47.89777	3
828.3604	1003.126	295.1806	130.68237	-5.4911137	45.1372	3
827.8231	964.135	316.05524	105.283806	-0.9637678	48.821552	3
755.47595	937.78564	249.1098	81.656044	5.579776	52.8459	3
651.85486	900.43494	231.16206	62.622227	10.63752	57.446537	3
555.97345	905.5142	187.2031	40.824665	19.870737	63.973366	3
421.61053	871.9934	173.04816	20.470572	26.350649	74.898445	3
294.27948	882.2299	130.4087	0.51351166	32.24801	86.33748	3
142.2762	928.7566	154.58395	-13.7637415	37.939693	102.10259	3
-6.211156	989.01025	178.62659	-24.963644	45.7338	116.63982	3
-133.53598	1042.2133	248.56902	-36.927303	46.567783	131.1586	3
-300.87366	1144.036	276.3832	-52.41487	46.381817	142.79158	3
-437.7263	1229.3763	291.10107	-65.40803	49.735027	158.8389	3
-624.599	1293.8007	356.28665	-79.84434	47.417393	170.60452	3
-869.02313	1381.429	417.56442	-91.53604	46.10813	184.59358	3
-1133.1427	1466.3018	476.98203	-96.6795	42.724354	198.99837	3
-1309.5641	1608.7809	507.50406	-103.14534	38.791832	214.6603	3
-1547.374	1789.0885	564.43915	-110.13217	33.791805	231.38661	3
-1944.4131	2076.6187	686.8854	-117.93912	33.45167	253.50941	3
-2437.8389	2417.1572	826.5261	-118.15175	34.764397	280.0666	3
-2908.0547	2705.5115	947.3331	-114.79596	28.680973	314.82016	3
-3268.3376	2905.656	1029.4788	-110.69278	18.302143	351.29694	3
-3494.8135	2929.6892	1014.6555	-106.64592	5.6239905	389.3749	3
-3600.6333	2846.9636	984.93066	-108.32891	-3.216925	427.57602	3
-3662.0415	2701.5493	960.40515	-108.21767	-13.154686	457.79272	3
-3586.6948	2503.2283	901.5374	-104.18439	-24.64212	481.83243	3
-3426.3342	2316.9688	809.6453	-93.13942	-36.17714	496.41962	3
-3160.1438	2025.5555	678.81134	-85.178024	-49.260555	505.90912	3
-2857.5085	1692.524	532.67773	-77.44855	-55.102127	504.0867	3
-2496.5073	1315.4849	375.03088	-80.341446	-56.133663	495.9858	3
-2174.839	932.4313	254.17325	-86.742775	-52.812565	476.66302	3
-1920.9137	646.10767	225.63974	-91.35604	-51.184113	451.6418	3
-1679.3208	418.87143	158.88416	-99.02074	-43.04842	419.36758	3
-1521.5746	277.00143	158.314	-98.117386	-40.803917	388.47943	3
-1323.9501	182.84358	122.10356	-95.64161	-35.876106	351.21274	3
-1089.4583	140.43703	158.85725	-89.90213	-31.198301	322.03632	3
-1037.0348	126.96576	80.7923	-85.10367	-33.134308	291.5458	3
-981.0983	59.59513	-10.677606	-80.91446	-22.424631	257.51236	3
-898.92096	-31.756329	-129.17844	-77.84832	-17.017332	221.31583	3
-769.59143	-257.36664	-231.53284	-77.481094	-13.25449	187.4651	3
