A_X [mg]	A_Y [mg]	A_Z [mg]	G_X [dps]	G_Y [dps]	G_Z [dps]	LABEL
-795.397	-772.412	234.347	-197.33182	-95.708015	-141.23868	3
-766.0848	-809.8331	161.3397	-199.79579	-87.36173	-147.15717	3
-735.9676	-843.5324	145.4321	-185.95	-75.714386	-150.47314	3
-726.1052	-936.5864	129.82391	-183.44725	-66.79091	-153.0341	3
-675.79663	-952.6988	105.59191	-151.56036	-52.23407	-151.5035	3
-619.8195	-1006.07275	78.58424	-130.992	-47.36952	-149.61284	3
-555.85394	-988.3591	47.378082	-85.12873	-36.20329	-145.77197	3
-540.5356	-976.32574	66.35653	-58.625168	-29.685368	-148.25935	3
-508.33188	-943.23627	50.497086	-19.711128	-20.384474	-146.74484	3
-511.3182	-947.363	28.321056	-5.7512383	-17.996033	-149.40695	3
-478.51303	-877.29803	5.758287	20.878145	-11.083189	-154.84726	3
-493.20657	-918.42426	-18.192175	19.950678	-9.700164	-161.5063	3
-489.52924	-911.46045	-74.24291	31.3306	-0.04239567	-166.58383	3
-491.15305	-994.04333	-95.430756	27.447123	0.7410892	-176.09593	3
-486.9766	-1076.1901	-146.00575	38.093414	8.524168	-184.64488	3
-574.7495	-1218.1876	-205.27554	34.26653	13.6170025	-193.27757	3
-625.4489	-1322.0813	-306.25034	45.669662	17.591255	-203.80116	3
-759.3354	-1500.3896	-389.08984	50.720623	21.114141	-213.95404	3
-906.2824	-1698.7184	-508.3339	67.69496	28.998827	-225.01344	3
-1083.0851	-1922.7826	-546.151	82.5529	35.025055	-241.52931	3
-1231.3741	-2171.1973	-621.8112	106.08398	41.644787	-256.00995	3
-1414.5254	-2408.3245	-657.4113	121.954636	43.2139	-275.3583	3
-1617.305	-2586.7498	-704.71545	139.79016	47.800156	-297.7231	3
-1726.4823	-2701.4658	-806.68964	139.91603	50.537807	-319.29257	3
-1798.394	-2766.7349	-926.02	137.83937	56.226616	-343.98306	3
-1853.158	-2883.3748	-976.03564	121.6762	60.854946	-370.17743	3
-1933.2549	-3024.0059	-992.58203	113.7541	64.30147	-390.6951	3
-2048.835	-3110.7817	-992.53235	109.38432	65.908554	-407.2066	3
-2109.8254	-3060.1829	-944.1376	111.89616	67.18977	-421.27435	3
-2041.3376	-2864.8096	-924.173	117.582565	62.777233	-429.38754	3
-1866.1735	-2546.8154	-776.6093	119.68815	60.559532	-432.6906	3
-1664.0182	-2241.9675	-654.3247	124.75587	59.098522	-432.21487	3
-1506.9137	-1973.6204	-514.17664	121.287636	56.17128	-426.78232	3
-1349.5638	-1703.1713	-410.8903	123.670845	53.953556	-418.19406	3
-1160.4828	-1482.7247	-348.12207	120.21527	52.765976	-403.18515	3
-1049.86	-1214.6832	-330.21436	118.65471	54.300987	-388.74246	3
