A_X [mg]	A_Y [mg]	A_Z [mg]	G_X [dps]	G_Y [dps]	G_Z [dps]	LABEL
-536.23	644.199	414.105	-36.560837	-0.1608304	145.55362	3
-507.78436	698.3664	446.6964	-36.455166	-2.6059551	144.37254	3
-511.02283	686.45105	436.06598	-28.673706	-1.5545346	125.517426	3
-490.77008	657.8279	398.5951	-27.141556	-9.986643	139.15144	3
-437.44	586.69836	383.24744	-12.19368	-1.8157684	115.565346	3
-397.13617	590.93756	357.78516	-8.614712	-4.180219	126.997116	3
-327.32513	587.24664	359.09152	1.8189974	1.7459937	101.30732	3
-310.0362	650.01733	390.26056	-0.9101823	-1.9280976	109.8481	3
-272.96674	656.1854	386.98038	10.222355	7.1014237	87.92972	3
-279.67572	681.20166	390.98215	10.3007	6.2105145	106.08867	3
-237.53584	662.61145	411.1522	29.165901	13.514544	87.01135	3
-241.16853	686.4383	402.079	32.501827	14.804443	98.908905	3
-176.25815	761.5425	396.46445	37.65803	20.879168	78.21668	3
-90.05598	890.7295	398.49542	26.255108	19.648731	82.671906	3
50.5812	991.15985	443.26874	15.54955	24.645237	61.769516	3
194.27153	1055.138	411.36972	2.745461	21.789068	68.5777	3
328.13266	1022.85095	410.43283	7.90895	22.356815	57.719574	3
376.7774	1020.79626	328.86038	8.908154	21.313183	63.10069	3
405.60995	1034.172	291.52954	18.720043	28.353539	45.07101	3
291.13385	1119.9618	242.29474	19.382957	31.208067	50.14618	3
176.18997	1206.8619	269.31882	13.421397	41.604877	43.711086	3
-5.0624223	1254.8353	312.2098	-3.630863	42.491844	50.20965	3
-181.00217	1192.8246	443.63788	-22.629389	43.547276	48.524776	3
-348.10522	1083.1523	501.16998	-40.183834	40.76135	52.57409	3
-490.71194	914.23785	573.93414	-41.556858	33.983784	45.87938	3
-605.51056	712.90784	549.54926	-33.49508	24.288572	37.926613	3
-693.8542	537.398	447.472	-14.485565	15.548682	23.028086	3
-706.4733	352.08344	330.1021	12.563488	11.033559	6.7711654	3
-706.37695	241.50316	134.9606	37.10319	9.4952135	-12.474183	3
-674.9859	132.35497	-20.801985	61.19345	16.154722	-35.073845	3
-704.48346	59.62608	-151.73372	73.59573	29.343468	-57.705467	3
-798.0157	-75.49516	-128.74706	82.30887	43.31343	-85.13477	3
-894.99414	-232.49352	-108.54164	81.85998	55.651665	-104.81539	3
-1003.55023	-364.55026	-62.338318	68.042274	71.090096	-132.1077	3
-1178.7129	-567.0585	42.00798	53.41321	83.29021	-154.58711	3
-1288.3127	-739.96985	100.54292	43.01998	89.05856	-186.22404	3
-1492.7423	-872.1496	78.45351	32.24286	85.370255	-206.5487	3
-1625.1003	-1048.8002	32.9915	37.483765	75.50055	-237.32011	3
-1750.7719	-1184.7649	-177.27945	53.86011	66.415344	-261.89093	3
